Dates,v,s
1/31/1990,4.4,CPI XYOY Index
2/28/1990,4.6,CPI XYOY Index
3/31/1990,4.9,CPI XYOY Index
4/30/1990,4.8,CPI XYOY Index
5/31/1990,4.8,CPI XYOY Index
6/30/1990,4.9,CPI XYOY Index
7/31/1990,5,CPI XYOY Index
8/31/1990,5.5,CPI XYOY Index
9/30/1990,5.5,CPI XYOY Index
10/31/1990,5.3,CPI XYOY Index
11/30/1990,5.3,CPI XYOY Index
12/31/1990,5.2,CPI XYOY Index
1/31/1991,5.6,CPI XYOY Index
2/28/1991,5.6,CPI XYOY Index
3/31/1991,5.2,CPI XYOY Index
4/30/1991,5.1,CPI XYOY Index
5/31/1991,5.1,CPI XYOY Index
6/30/1991,5,CPI XYOY Index
7/31/1991,4.8,CPI XYOY Index
8/31/1991,4.6,CPI XYOY Index
9/30/1991,4.5,CPI XYOY Index
10/31/1991,4.4,CPI XYOY Index
11/30/1991,4.5,CPI XYOY Index
12/31/1991,4.4,CPI XYOY Index
1/31/1992,3.9,CPI XYOY Index
2/29/1992,3.8,CPI XYOY Index
3/31/1992,3.9,CPI XYOY Index
4/30/1992,3.9,CPI XYOY Index
5/31/1992,3.8,CPI XYOY Index
6/30/1992,3.8,CPI XYOY Index
7/31/1992,3.7,CPI XYOY Index
8/31/1992,3.5,CPI XYOY Index
9/30/1992,3.3,CPI XYOY Index
10/31/1992,3.5,CPI XYOY Index
11/30/1992,3.4,CPI XYOY Index
12/31/1992,3.3,CPI XYOY Index
1/31/1993,3.5,CPI XYOY Index
2/28/1993,3.6,CPI XYOY Index
3/31/1993,3.4,CPI XYOY Index
4/30/1993,3.5,CPI XYOY Index
5/31/1993,3.4,CPI XYOY Index
6/30/1993,3.3,CPI XYOY Index
7/31/1993,3.2,CPI XYOY Index
8/31/1993,3.3,CPI XYOY Index
9/30/1993,3.2,CPI XYOY Index
10/31/1993,3,CPI XYOY Index
11/30/1993,3.1,CPI XYOY Index
12/31/1993,3.2,CPI XYOY Index
1/31/1994,2.9,CPI XYOY Index
2/28/1994,2.8,CPI XYOY Index
3/31/1994,2.9,CPI XYOY Index
4/30/1994,2.8,CPI XYOY Index
5/31/1994,2.8,CPI XYOY Index
6/30/1994,2.9,CPI XYOY Index
7/31/1994,2.9,CPI XYOY Index
8/31/1994,2.9,CPI XYOY Index
9/30/1994,3,CPI XYOY Index
10/31/1994,2.9,CPI XYOY Index
11/30/1994,2.8,CPI XYOY Index
12/31/1994,2.6,CPI XYOY Index
1/31/1995,2.9,CPI XYOY Index
2/28/1995,3,CPI XYOY Index
3/31/1995,3,CPI XYOY Index
4/30/1995,3.1,CPI XYOY Index
5/31/1995,3.1,CPI XYOY Index
6/30/1995,3,CPI XYOY Index
7/31/1995,3,CPI XYOY Index
8/31/1995,2.9,CPI XYOY Index
